fx,days,link,ca,bmfx,n_days,index_last,index_ret_pct,bm_last,bm_ret_pct,excess_pp,fx_missing,ann_vol_pct,tracking_err_pct,max_drawdown_pct,max_daily_ret_pct,min_daily_ret_pct,repro_max_rel_err,reproduces_published
PREV_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,59,1347.638442471692,34.7638442471692,1413.6772582050044,41.36772582050043,-6.603881573331227,0,68.93571966336665,63.49779090500341,-15.567879337033263,22.127904850916003,-14.461356921400492,0.2068241031150463,False
PREV_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,CONVERT,59,1319.8839877650962,31.98839877650963,1425.308969238703,42.53089692387029,-10.542498147360657,0,41.103703146780916,32.708588259794915,-15.383486526562962,6.523015945526756,-6.89414809681147,0.056744989668021224,False
PREV_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,LEVEL_ONLY,59,1319.8839877650962,31.98839877650963,1413.6772582050044,41.36772582050043,-9.379327043990804,0,41.103703146780916,32.82052373219094,-15.383486526562962,6.523015945526756,-6.89414809681147,0.056744989668021224,False
PREV_DAY,UNION_CARRY,SEGMENT_RELINK,NONE,CONVERT,64,1281.027751175861,28.10277511758612,1425.308969238703,42.53089692387029,-14.428121806284167,0,39.50561912835525,31.69828654088912,-15.111308808754975,6.41451387248384,-6.948734310515514,0.016118217877080312,False
PREV_DAY,UNION_CARRY,SEGMENT_RELINK,NONE,LEVEL_ONLY,64,1281.027751175861,28.10277511758612,1413.6772582050044,41.36772582050043,-13.264950702914312,0,39.50561912835525,31.9103933310527,-15.111308808754975,6.41451387248384,-6.948734310515514,0.016118217877080312,False
PREV_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_LISTING,CONVERT,64,1347.638442471691,34.7638442471691,1425.308969238703,42.53089692387029,-7.767052676701192,0,39.76905811688979,31.45668136800337,-15.567879337033263,6.596920566101527,-6.857092816334854,0.09021774911913241,False
PREV_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_LISTING,LEVEL_ONLY,64,1347.638442471691,34.7638442471691,1413.6772582050044,41.36772582050043,-6.603881573331338,0,39.76905811688979,31.74025010959078,-15.567879337033263,6.596920566101527,-6.857092816334854,0.09021774911913241,False
PREV_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_EFFECTIVE,CONVERT,64,1347.638442471691,34.7638442471691,1425.308969238703,42.53089692387029,-7.767052676701192,0,66.06800801259871,62.24251118016079,-15.567879337033263,22.127904850916003,-14.461356921400492,0.20682410311504523,False
PREV_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,64,1347.638442471691,34.7638442471691,1413.6772582050044,41.36772582050043,-6.603881573331338,0,66.06800801259871,60.85498004038119,-15.567879337033263,22.127904850916003,-14.461356921400492,0.20682410311504523,False
PREV_DAY,UNION_CARRY,SEGMENT_RELINK,SPLIT_333_ON_LISTING,CONVERT,64,1319.8839877650953,31.98839877650952,1425.308969238703,42.53089692387029,-10.542498147360767,0,39.349419202087,31.155962840770833,-15.383486526562962,6.523015945526756,-6.894148096811481,0.056744989668020204,False
