"security_id","company_name","row_number","candidate_fields","all_fields"
"012450","한화에어로스페이스","9","report_type=반기보고서 || pair_status=PAIRED","report_type=반기보고서 || filing_date=2023.08.11 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]반기보고서(2023.08.11).pdf || xbrl_zip_file=[한화에어로스페이스]반기보고서_IFRS(원문XBRL)(2023.08.11).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","10","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2023.11.14 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2023.11.14).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2023.11.14).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","11","report_type=사업보고서 || pair_status=PAIRED","report_type=사업보고서 || filing_date=2024.03.29 || corrected_disclosure=Y || pdf_file=[한화에어로스페이스][정정]사업보고서(2024.03.29).pdf || xbrl_zip_file=[한화에어로스페이스][정정]사업보고서_IFRS(원문XBRL)(2024.03.29).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","12","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2024.05.14 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2024.05.14).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2024.05.14).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","13","report_type=반기보고서 || pair_status=PAIRED","report_type=반기보고서 || filing_date=2024.08.14 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]반기보고서(2024.08.14).pdf || xbrl_zip_file=[한화에어로스페이스]반기보고서_IFRS(원문XBRL)(2024.08.14).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","14","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2024.11.13 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2024.11.13).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2024.11.13).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","15","report_type=사업보고서 || pair_status=PAIRED","report_type=사업보고서 || filing_date=2025.03.17 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]사업보고서(2025.03.17).pdf || xbrl_zip_file=[한화에어로스페이스]사업보고서_IFRS(원문XBRL)(2025.03.17).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","16","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2025.05.13 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2025.05.13).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2025.05.13).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","17","report_type=반기보고서 || pair_status=PAIRED","report_type=반기보고서 || filing_date=2025.08.14 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]반기보고서(2025.08.14).pdf || xbrl_zip_file=[한화에어로스페이스]반기보고서_IFRS(원문XBRL)(2025.08.14).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","18","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2025.11.13 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2025.11.13).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2025.11.13).zip || pair_status=PAIRED"
"012450","한화에어로스페이스","19","report_type=분기보고서 || pair_status=PAIRED","report_type=분기보고서 || filing_date=2026.05.13 || corrected_disclosure=N || pdf_file=[한화에어로스페이스]분기보고서(2026.05.13).pdf || xbrl_zip_file=[한화에어로스페이스]분기보고서_IFRS(원문XBRL)(2026.05.13).zip || pair_status=PAIRED"
"018260","삼성SDS","1","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2020-11-16 || fiscal_period_inferred=FY2020 3분기 (2020.07-2020.09) || is_revision=False || pdf_file_name=[삼성에스디에스]분기보고서(2020.11.16).pdf || pdf_sha256=98ce6e15a74a935ef1607a53477d7025a380bb986344ce78356a731c3f447a4e || xbrl_zip_file_name=[삼성에스디에스]분기보고서_IFRS(원문XBRL)(2020.11.16).zip || xbrl_zip_sha256=98768f5f5e4ea7663c40bd3bdabb28f999411ca42f79fdddd95c6cb3c9a51b0b || pair_status=PAIRED"
"018260","삼성SDS","2","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2021-03-09 || fiscal_period_inferred=FY2020 (연간, 2020.01-2020.12) || is_revision=False || pdf_file_name=[삼성에스디에스]사업보고서(2021.03.09).pdf || pdf_sha256=31b083deac27bfdfaf2b8308aa2d0686118a65c9005725ae33726ae90e1f44b1 || xbrl_zip_file_name=[삼성에스디에스]사업보고서_IFRS(원문XBRL)(2021.03.09).zip || xbrl_zip_sha256=c6b7e105c5f35d6faabb76a74fd6b8d42d8caa51d0883b09a49668e2ffe76520 || pair_status=PAIRED"
"018260","삼성SDS","3","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2021-05-17 || fiscal_period_inferred=FY2021 1분기 (2021.01-2021.03) || is_revision=False || pdf_file_name=[삼성에스디에스]분기보고서(2021.05.17).pdf || pdf_sha256=adea656e2d3b53b78a4a80368544fd5d85e447ecce305696ef72ab0c270c88bd || xbrl_zip_file_name=[삼성에스디에스]분기보고서_IFRS(원문XBRL)(2021.05.17).zip || xbrl_zip_sha256=a26950d2d703bdcabc8ac985e384edf64cfc0f6da6b531f4a74159f34ee48c11 || pair_status=PAIRED"
"018260","삼성SDS","4","report_type_kr=반기보고서 || pair_status=PAIRED","report_type_kr=반기보고서 || filing_date=2021-08-17 || fiscal_period_inferred=FY2021 반기 (2021.01-2021.06) || is_revision=False || pdf_file_name=[삼성에스디에스]반기보고서(2021.08.17).pdf || pdf_sha256=fe2b2d571d03a1e79a52726b1da6c3ae25653baba121fb32b24ed7ba404e6a93 || xbrl_zip_file_name=[삼성에스디에스]반기보고서_IFRS(원문XBRL)(2021.08.17).zip || xbrl_zip_sha256=28eb7e99a6cf9720a88aa7cd821ebf5e4240d49b62ef70ea3643e812404b838d || pair_status=PAIRED"
"018260","삼성SDS","5","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2021-11-15 || fiscal_period_inferred=FY2021 3분기 (2021.07-2021.09) || is_revision=False || pdf_file_name=[삼성에스디에스]분기보고서(2021.11.15).pdf || pdf_sha256=53ee6e99a948eb679a7947d9190f388e894ea5460733f39639573cf5ff95d572 || xbrl_zip_file_name=[삼성에스디에스]분기보고서_IFRS(원문XBRL)(2021.11.15).zip || xbrl_zip_sha256=a91b49149e96673d16e2724cc4f06e6e88c1532f47f1359d6d1c0fdf94046e97 || pair_status=PAIRED"
"018260","삼성SDS","6","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2022-03-08 || fiscal_period_inferred=FY2021 (연간, 2021.01-2021.12) || is_revision=False || pdf_file_name=[삼성에스디에스]사업보고서(2022.03.08).pdf || pdf_sha256=8809db0e98d01a58e3d04d6e14434451a3da334f85c3d36413f9c873bd503742 || xbrl_zip_file_name=[삼성에스디에스]사업보고서_IFRS(원문XBRL)(2022.03.08).zip || xbrl_zip_sha256=9c4c64f2da535b95115dab3b98972ca9af69f5bb53a63a34d7f9bdc970dd2d7a || pair_status=PAIRED"
"018260","삼성SDS","7","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2022-05-16 || fiscal_period_inferred=FY2022 1분기 (2022.01-2022.03) || is_revision=False || pdf_file_name=[삼성에스디에스]분기보고서(2022.05.16).pdf || pdf_sha256=aae0595bb58fcebab22a78e6b5052f448abdae080397d82c3a5b6edb4b7af419 || xbrl_zip_file_name=[삼성에스디에스]분기보고서_IFRS(원문XBRL)(2022.05.16).zip || xbrl_zip_sha256=edbce9d0a2ea11b56971bd445a67e1b3716e601e589741d2bba0b45584cf5691 || pair_status=PAIRED"
"018260","삼성SDS","8","report_type_kr=반기보고서 || pair_status=PAIRED","report_type_kr=반기보고서 || filing_date=2022-08-16 || fiscal_period_inferred=FY2022 반기 (2022.01-2022.06) || is_revision=False || pdf_file_name=[삼성에스디에스]반기보고서(2022.08.16).pdf || pdf_sha256=1374766bcdd3d158e4f258c12778b5f929627fe134ad779526fa0ee257240b7e || xbrl_zip_file_name=[삼성에스디에스]반기보고서_IFRS(원문XBRL)(2022.08.16).zip || xbrl_zip_sha256=924faf1df0d19d55c14d809db917475effae5b8702f37560594c9df32c31f0b7 || pair_status=PAIRED"
"018260","삼성SDS","9","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2022-11-14 || fiscal_period_inferred=FY2022 3분기 (2022.07-2022.09) || is_revision=False || pdf_file_name=[삼성에스디에스]분기보고서(2022.11.14).pdf || pdf_sha256=2150708473628ab2ad5eaf652607bf98bcb7a0be9edd1ce4fc48c84b38bd44b7 || xbrl_zip_file_name=[삼성에스디에스]분기보고서_IFRS(원문XBRL)(2022.11.14).zip || xbrl_zip_sha256=a78b7f5bd329544ff26cc6eb743367c4ff7299aa54322346e39f66da1c5d2b51 || pair_status=PAIRED"
"018260","삼성SDS","10","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2023-03-07 || fiscal_period_inferred=FY2022 (연간, 2022.01-2022.12) || is_revision=False || pdf_file_name=[삼성에스디에스]사업보고서(2023.03.07).pdf || pdf_sha256=b4c5d71f92b8bd2c41da52fb26ee9f71df7d43facea026d78a82ac164ba8873f || xbrl_zip_file_name=[삼성에스디에스]사업보고서_IFRS(원문XBRL)(2023.03.07).zip || xbrl_zip_sha256=21ae621a5c8c7cc08f2622218200a39d7406ae3573f278400f203b76a04c116f || pair_status=PAIRED"
"018260","삼성SDS","11","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2023-05-15 || fiscal_period_inferred=FY2023 1분기 (2023.01-2023.03) || is_revision=False || pdf_file_name=[삼성에스디에스]분기보고서(2023.05.15).pdf || pdf_sha256=48d2fbcaaa27f0e03285fcc7bc9829003510be18d762574e5627e29a4fdce74a || xbrl_zip_file_name=[삼성에스디에스]분기보고서_IFRS(원문XBRL)(2023.05.15).zip || xbrl_zip_sha256=65c2d7350f7a9ab661329eddd085678c7bb92a6368f205a6589f88a6d0f23d4e || pair_status=PAIRED"
"018260","삼성SDS","12","report_type_kr=반기보고서 || pair_status=PAIRED","report_type_kr=반기보고서 || filing_date=2023-08-14 || fiscal_period_inferred=FY2023 반기 (2023.01-2023.06) || is_revision=False || pdf_file_name=[삼성에스디에스]반기보고서(2023.08.14).pdf || pdf_sha256=8ddfc32b1940d20ffb29bf9961a55a38d79b9f4ee0f7a01c240d60b3fa65ac5d || xbrl_zip_file_name=[삼성에스디에스]반기보고서_IFRS(원문XBRL)(2023.08.14).zip || xbrl_zip_sha256=110a219265182d7a6774dbf59df8ea02602d53fa05f7a2390d488c76f96f5c5e || pair_status=PAIRED"
