security_id,market,market_date,raw_close,volume,exchange_trading_value
010120,KR,2021-07-14,60600,851355,50522281300
010120,KR,2021-07-15,60700,394736,23969440800
010120,KR,2021-07-16,60600,270154,16333441000
010120,KR,2021-07-19,61100,439474,27052240800
010120,KR,2021-07-20,61500,365778,22430549700
010120,KR,2021-07-21,63600,747318,47535185000
010120,KR,2021-07-22,63100,273236,17287592900
010120,KR,2021-07-23,63800,172566,10980523000
010120,KR,2021-07-26,62200,169851,10660073500
010120,KR,2021-07-27,63000,221077,14054012400
010120,KR,2021-07-28,63800,296689,19054402300
010120,KR,2021-07-29,64600,323137,20979217100
010120,KR,2021-07-30,64900,314882,20443939400
010120,KR,2021-08-02,63800,219168,14069116300
010120,KR,2021-08-03,65500,271304,17649547100
010120,KR,2021-08-04,65500,204423,13395606800
010120,KR,2021-08-05,66700,195654,12945424000
010120,KR,2021-08-06,66900,141631,9446239100
010120,KR,2021-08-09,65700,178643,11745945000
010120,KR,2021-08-10,65800,152454,10010655600
010120,KR,2021-08-11,65300,197072,12779501600
010120,KR,2021-08-12,65800,144670,9484562100
010120,KR,2021-08-13,64300,147871,9432817000
010120,KR,2021-08-17,62800,142647,8980712800
010120,KR,2021-08-18,63800,97955,6229258000
010120,KR,2021-08-19,62500,169706,10702612400
010120,KR,2021-08-20,60900,169990,10462678600
010120,KR,2021-08-23,62600,122947,7682501800
010120,KR,2021-08-24,65000,166467,10764432900
010120,KR,2021-08-25,64000,70603,4539998100
010120,KR,2021-08-26,64600,91023,5862887400
010120,KR,2021-08-27,68400,373399,25093485500
010120,KR,2021-08-30,68500,196561,13501048900
010120,KR,2021-08-31,68600,222144,15335587200
010120,KR,2021-09-01,68000,119055,8155041500
010120,KR,2021-09-02,68400,135138,9167081700
010120,KR,2021-09-03,67600,109392,7453257100
010120,KR,2021-09-06,68500,84710,5773617600
010120,KR,2021-09-07,70300,254567,17860629100
010120,KR,2021-09-08,69900,204314,14397843900
010120,KR,2021-09-09,70000,119417,8381915100
010120,KR,2021-09-10,70200,110677,7776257300
010120,KR,2021-09-13,69800,101172,7093756900
010120,KR,2021-09-14,69400,78911,5502982800
010120,KR,2021-09-15,68900,87229,6005684100
010120,KR,2021-09-16,69000,72473,4993123100
010120,KR,2021-09-17,67700,126620,8567133400
010120,KR,2021-09-23,68400,111419,7562188400
010120,KR,2021-09-24,67600,92314,6273827300
010120,KR,2021-09-27,68000,63117,4303123800
010120,KR,2021-09-28,68300,117410,8022754100
010120,KR,2021-09-29,66500,110062,7301204600
010120,KR,2021-09-30,66700,78445,5218320900
010120,KR,2021-10-01,66600,108147,7181217200
010120,KR,2021-10-05,65700,111379,7342498900
010120,KR,2021-10-06,63000,112113,7206979000
010120,KR,2021-10-07,64800,66158,4262355300
010120,KR,2021-10-08,63900,71671,4582197300
010120,KR,2021-10-12,63300,79017,4982761100
010120,KR,2021-10-13,63500,129844,8326060000
010120,KR,2021-10-14,64400,53371,3423789700
010120,KR,2021-10-15,64900,69061,4473800400
010120,KR,2021-10-18,63900,83721,5337339600
010120,KR,2021-10-19,64400,59210,3798867200
010120,KR,2021-10-20,63500,41033,2620806600
010120,KR,2021-10-21,62300,95056,5948651400
010120,KR,2021-10-22,62400,70262,4405021200
010120,KR,2021-10-25,62600,53082,3293639900
010120,KR,2021-10-26,62300,47790,2978922900
010120,KR,2021-10-27,63200,71860,4541862400
010120,KR,2021-10-28,61300,122060,7574165400
010120,KR,2021-10-29,58900,138413,8268226800
010120,KR,2021-11-01,58900,67485,4001456600
010120,KR,2021-11-02,60000,69534,4178186500
010120,KR,2021-11-03,59300,53836,3222982900
010120,KR,2021-11-04,59500,74636,4499820000
010120,KR,2021-11-05,59000,109511,6446097300
010120,KR,2021-11-08,60000,71991,4330718800
010120,KR,2021-11-09,61900,99705,6148403100
010120,KR,2021-11-10,60500,80709,4914774600
010120,KR,2021-11-11,59300,60242,3576145900
010120,KR,2021-11-12,60200,43067,2589189900
010120,KR,2021-11-15,59900,35948,2162424400
010120,KR,2021-11-16,58600,70388,4148330600
010120,KR,2021-11-17,57000,90704,5204219500
010120,KR,2021-11-18,58000,160642,9248535400
010120,KR,2021-11-19,57000,56741,3238252100
010120,KR,2021-11-22,58200,72357,4159122300
010120,KR,2021-11-23,57200,94536,5384983500
010120,KR,2021-11-24,57700,56798,3249875900
010120,KR,2021-11-25,56700,37451,2133338400
010120,KR,2021-11-26,55200,61501,3430297900
010120,KR,2021-11-29,53800,82323,4461091700
010120,KR,2021-11-30,52500,93069,4932265400
010120,KR,2021-12-01,52900,81109,4254419400
010120,KR,2021-12-02,54000,71561,3805402000
010120,KR,2021-12-03,54200,40570,2187448900
010120,KR,2021-12-06,54000,49779,2668109700
010120,KR,2021-12-07,54500,47890,2594469800
010120,KR,2021-12-08,54200,63713,3505259400
010120,KR,2021-12-09,54100,113304,6136060900
010120,KR,2021-12-10,53900,54542,2944335800
010120,KR,2021-12-13,54400,53033,2890437200
010120,KR,2021-12-14,53700,55051,2955892100
010120,KR,2021-12-15,53300,43914,2340854200
010120,KR,2021-12-16,55400,69786,3811080200
010120,KR,2021-12-17,54300,66748,3645693200
010120,KR,2021-12-20,53600,51814,2777619400
010120,KR,2021-12-21,53700,54846,2925118200
010120,KR,2021-12-22,55100,67377,3681058900
010120,KR,2021-12-23,55900,144265,8116802600
010120,KR,2021-12-24,56000,55436,3110996900
010120,KR,2021-12-27,56000,72494,4087410700
010120,KR,2021-12-28,57000,79274,4481095400
010120,KR,2021-12-29,56000,64153,3605483800
