security_id,market,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id
APH,US,2016-09-23,90,90,0,0,0,90,940,SEASONED,73710328.3,73710328.3,73710328.3,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
ATI,US,2016-09-23,90,90,0,0,0,90,940,SEASONED,46365499.36666667,46365499.36666667,46365499.36666667,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
ETN,US,2016-09-23,90,90,0,0,0,90,940,SEASONED,147270054.26666668,147270054.26666668,147270054.26666668,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
GEV,US,2016-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-09-23,2016-09-30,RC-2016-09-30
KTOS,US,2016-09-23,90,90,0,0,0,90,940,SEASONED,2933606.8777777776,2933606.8777777776,2933606.8777777776,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
SPCX,US,2016-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-09-23,2016-09-30,RC-2016-09-30
TER,US,2016-09-23,90,90,0,0,0,90,940,SEASONED,33822083.04444444,33822083.04444444,33822083.04444444,ZERO,v0.9-pilot,CALCULATED,2016-09-23,2016-09-30,RC-2016-09-30
010120,KR,2016-12-22,90,90,0,0,0,90,981,SEASONED,2811934364.4444447,2811934364.4444447,2811934364.4444447,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
012450,KR,2016-12-22,90,90,0,0,0,90,981,SEASONED,34843290224.76667,34843290224.76667,34843290224.76667,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
018260,KR,2016-12-22,90,90,0,0,0,90,521,SEASONED,16724922983.333334,16724922983.333334,16724922983.333334,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
064350,KR,2016-12-22,90,90,0,0,0,90,777,SEASONED,4997725140.555555,4997725140.555555,4997725140.555555,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
064400,KR,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31
079550,KR,2016-12-22,90,90,0,0,0,90,303,SEASONED,9733823827.466667,9733823827.466667,9733823827.466667,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
267260,KR,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31
298040,KR,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31
307950,KR,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31
ALAB,US,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31
ANET,US,2016-12-22,90,90,0,0,0,90,644,SEASONED,60809046.46755557,60809046.46755557,60809046.46755557,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
APH,US,2016-12-22,90,90,0,0,0,90,1003,SEASONED,87811940.71111111,87811940.71111111,87811940.71111111,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
ATI,US,2016-12-22,90,90,0,0,0,90,1003,SEASONED,41470457.5,41470457.5,41470457.5,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
ETN,US,2016-12-22,90,90,0,0,0,90,1003,SEASONED,178699903.3,178699903.3,178699903.3,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
GEV,US,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31
KTOS,US,2016-12-22,90,90,0,0,0,90,1003,SEASONED,5104523.733333333,5104523.733333333,5104523.733333333,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
SPCX,US,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31
TER,US,2016-12-22,90,90,0,0,0,90,1003,SEASONED,43274711.96666667,43274711.96666667,43274711.96666667,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31
010120,KR,2017-03-24,90,90,0,0,0,90,1043,SEASONED,2710377598.888889,2710377598.888889,2710377598.888889,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
012450,KR,2017-03-24,90,90,0,0,0,90,1043,SEASONED,25846313552.755554,25846313552.755554,25846313552.755554,ZERO,v0.9-pilot,CALCULATED,2017-03-24,2017-03-31,RC-2017-03-31
